title,link,price,location,year,mileage,type,automatisk
Mercedes-Benz GLS450 d,https://www.blocket.se/mobility/item/18908289,15331,Norrtälje ∙ Höglunds Bil AB,2025,0,Diesel,Automatisk
Mercedes-Benz GLS450 d,https://www.blocket.se/mobility/item/18908464,15361,Norrtälje ∙ Höglunds Bil AB,2025,0,Diesel,Automatisk
Kia Optima,https://www.blocket.se/mobility/item/20486109,56000,Göteborg ∙ PS Auction AB - Fordon,2018,0,Bensin,Automatisk
Volvo XC60,https://www.blocket.se/mobility/item/13523927,100000,Upplands Väsby ∙ Smista Bil i Upplands Väsby AB - MRF Handlare,2022,0,Hybrid bensin,Automatisk
Volkswagen T-Roc,https://www.blocket.se/mobility/item/20116082,452600,Södertälje ∙ Din Bil / Volkswagen Södertälje - Nya bilar,2026,0,Bensin,Automatisk
Skoda Octavia,https://www.blocket.se/mobility/item/13502833,349900,Haninge ∙ Bilia Haninge Skoda,2026,0,Bensin,Automatisk
Skoda Kodiaq,https://www.blocket.se/mobility/item/13502855,462000,Haninge ∙ Bilia Haninge Skoda,2026,0,Bensin,Automatisk
Skoda Kodiaq,https://www.blocket.se/mobility/item/13454275,492000,Nacka ∙ Bilia Nacka Skoda,2026,0,Hybrid bensin,Automatisk
Kia Sportage,https://www.blocket.se/mobility/item/20000715,439900,Järfälla ∙ Aftén Bil KIA Barkarby Nybil,2025,0,Hybrid bensin,Automatisk
Hyundai i10,https://www.blocket.se/mobility/item/19549352,189900,Göteborg ∙ KARMAUTO Göteborg,2025,0,Bensin,Automatisk
Kia Picanto,https://www.blocket.se/mobility/item/19047258,191846,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Kia Picanto,https://www.blocket.se/mobility/item/15554984,191846,Malmö ∙ Malmö Bilcentrum AB,2026,0,Bensin,Automatisk
Kia Picanto,https://www.blocket.se/mobility/item/18509139,191900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Kia Picanto,https://www.blocket.se/mobility/item/18509135,191900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Kia Picanto,https://www.blocket.se/mobility/item/19366349,194800,Åkersberga ∙ Aftén Bil KIA Åkersberga Nybil,2026,0,Bensin,Automatisk
Kia Picanto,https://www.blocket.se/mobility/item/18530160,194800,Järfälla ∙ Aftén Bil KIA Barkarby Nybil,2026,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/13456053,194900,Järfälla ∙ Hedin Automotive Stäket,2024,0,Bensin,Automatisk
Kia Picanto,https://www.blocket.se/mobility/item/18231730,196000,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Skoda Superb,https://www.blocket.se/mobility/item/13441612,446900,Nacka ∙ Bilia Nacka Skoda,2026,0,Bensin,Automatisk
Kia Picanto,https://www.blocket.se/mobility/item/18210119,196092,Danderyd ∙ Hedin Automotive Kia Danderyd,2026,0,Bensin,Automatisk
